Model Condition,Classifier,Accuracy,Precision (macro),Recall (macro),F1 (macro),F1 (weighted)
Model A (General Only),Logistic Regression,0.564,0.3219,0.223,0.2124,0.4693
Model A (General Only),Linear SVM,0.5612,0.3445,0.275,0.2583,0.4765
Model A (General Only),Naive Bayes,0.5254,0.2493,0.2721,0.2139,0.4667
Model B (Domain Only),Logistic Regression,0.7263,0.5765,0.5165,0.5256,0.7227
Model B (Domain Only),Linear SVM,0.762,0.7429,0.5219,0.563,0.7535
Model B (Domain Only),Naive Bayes,0.7579,0.7606,0.4993,0.5408,0.7476
Model C (Mixed),Logistic Regression,0.7442,0.6826,0.5066,0.5338,0.736
Model C (Mixed),Linear SVM,0.7552,0.7049,0.4981,0.5426,0.7457
Model C (Mixed),Naive Bayes,0.7263,0.625,0.4109,0.439,0.7042
